Campanula glomeratoides
Codonopsis alpina
Codonopsis bulleyana
Codonopsis canescens
Codonopsis chimiliensis
Codonopsis chlorocodon
Codonopsis cordifolioidea
Codonopsis gombalana
Codonopsis hirsuta
Codonopsis levicalyx
Codonopsis meleagris
Codonopsis pianmaensis
Codonopsis rosulata
Codonopsis subglobosa
Codonopsis subscaposa
Cyananthus fasciculatus
Cyananthus formosus
Cyananthus lichiangensis
Cyananthus macrocalyx
Cyananthus sericeus
Homocodon pedicellatus
Leptocodon hirsutus
Abelia buddleioides
Abelia forrestii
Dipsacus chinensis
Lonicera litangensis
Lonicera oreodoxa
Lonicera sublabiata
Lonicera trichosantha
Lonicera tubuliflora
Morina chlorantha
Morina kokonorica
Patrinia speciosa
Patrinia trifoliata
Pterocephalus bretschneideri
Valeriana barbulata
Valeriana daphniflora
Valeriana flagellifera
Valeriana hirticalyx
Valeriana meonantha
Valeriana minutiflora
Valeriana sichuanica
Valeriana stenoptera
Valeriana trichostoma
Arenaria acicularis
Arenaria aksayqingensis
Arenaria amdoensis
Arenaria auricoma
Arenaria barbata
Arenaria baxoiensis
Arenaria bomiensis
Arenaria brevipetala
Arenaria chamdoensis
Arenaria ciliolata
Arenaria delavayi
Arenaria dimorphitricha
Arenaria dsharaensis
Arenaria euodonta
Arenaria filipes
Arenaria forrestii
Arenaria fridericae
Arenaria galliformis
Arenaria gerzeensis
Arenaria haitzeshanensis
Arenaria inconspicua
Arenaria inornata
Arenaria ischnophylla
Arenaria kansuensis
Arenaria lancangensis
Arenaria leucasteria
Arenaria littledalei
Arenaria longipes
Arenaria longipetiolata
Arenaria longistyla
Arenaria melandryiformis
Arenaria membranisepala
Arenaria microstella
Arenaria minima
Arenaria monantha
Arenaria monilifera
Arenaria monosperma
Arenaria napuligera
Arenaria pogonantha
Arenaria polysperma
Arenaria polytrichoides
Arenaria przewalskii
Arenaria pseudostellaria
Arenaria puranensis
Arenaria qinghaiensis
Arenaria quadridentata
Arenaria ramellata
Arenaria reducta
Arenaria rhodantha
Arenaria roborowskii
Arenaria rockii
Arenaria roseiflora
Arenaria saginoides
Arenaria salweenensis
Arenaria schneideriana
Arenaria setifera
Arenaria shannanensis
Arenaria smithiana
Arenaria spathulifolia
Arenaria trichophora
Arenaria trichophylla
Arenaria tumengelaensis
Arenaria weissiana
Arenaria xerophila
Arenaria yulongshanensis
Arenaria zadoiensis
Arenaria zhongdianensis
Cerastium szechuense
Pseudostellaria tibetica
Silene adenocalyx
Silene atrocastanea
Silene atsaensis
Silene batangensis
Silene bilingua
Silene cardiopetala
Silene chodatii
Silene chungtienensis
Silene davidii
Silene dawoensis
Silene delavayi
Silene dumetosa
Silene esquamata
Silene gracilenta
Silene grandiflora
Silene herbilegorum
Silene huguettiae
Silene kialensis
Silene lamarum
Silene lhassana
Silene lichiangensis
Silene lineariloba
Silene melanantha
Silene monbeigii
Silene muliensis
Silene multifurcata
Silene namlaensis
Silene nangqenensis
Silene napuligera
Silene oblanceolata
Silene principis
Silene pubicalycina
Silene puranensis
Silene rosiflora
Silene rubricalyx
Silene subcretacea
Silene trachyphylla
Silene wardii
Silene yetii
Silene yunnanensis
Silene zhongbaensis
Silene zhoui
Stellaria arenarioides
Stellaria delavayi
Stellaria dianthifolia
Stellaria gyirongensis
Stellaria lanipes
Stellaria mainlingensis
Stellaria oxycoccoides
Stellaria petiolaris
Stellaria pilosoides
Stellaria pusilla
Stellaria souliei
Stellaria tibetica
Stellaria uda
Stellaria zangnanensis
Celastrus xizangensis
Euonymus clivicolus
Euonymus lichiangensis
Euonymus ternifolius
Microtropis sphaerocarpa
Parnassia angustipetala
Parnassia cacuminum
Parnassia davidii
Parnassia degeensis
Parnassia deqenensis
Parnassia filchneri
Parnassia humilis
Parnassia kangdingensis
Parnassia labiata
Parnassia lanceolata
Parnassia leptophylla
Parnassia lijiangensis
Parnassia longipetala
Parnassia lutea
Parnassia noemiae
Parnassia qinghaiensis
Parnassia scaposa
Parnassia submysorensis
Parnassia subscaposa
Parnassia trinervis
Parnassia yanyuanensis
Parnassia yui
Parnassia yulongshanensis
Parnassia yunnanensis
Garcinia nujiangensis
Tricarpelema xizangense
Cuscuta macrolepis
Ipomoea hirtifolia
Costus oblongus
Kungia aliciae
Ohbaea balfourii
Rhodiola alsia
Rhodiola alterna
Rhodiola chrysanthemifolia
Rhodiola forrestii
Rhodiola handelii
Rhodiola junggarica
Rhodiola primuloides
Rhodiola purpureoviridis
Rhodiola sexifolia
Rhodiola subopposita
Rhodiola tangutica
Rhodiola tieghemii
Sedum blepharophyllum
Sedum celatum
Sedum celiae
Sedum costantinii
Sedum daigremontianum
Sedum didymocalyx
Sedum dimorphophyllum
Sedum erici-magnusii
Sedum feddei
Sedum fedtschenkoi
Sedum forrestii
Sedum franchetii
Sedum fui
Sedum giajae
Sedum glaebosum
Sedum heckelii
Sedum hengduanense
Sedum leucocarpum
Sedum longifuniculatum
Sedum longyanense
Sedum lutzii
Sedum magniflorum
Sedum morotii
Sedum muyaicum
Sedum nothodugueyi
Sedum obtrullatum
Sedum oligocarpum
Sedum pagetodes
Sedum paracelatum
Sedum perrotii
Sedum platysepalum
Sedum prasinopetalum
Sedum pratoalpinum
Sedum purdomii
Sedum ramentaceum
Sedum raymondii
Sedum rosei
Sedum sagittipetalum
Sedum sinoglaciale
Sedum stimulosum
Sedum trichospermum
Sedum tsinghaicum
Sedum tsonanum
Sedum ulricae
Sedum wangii
Sedum wenchuanense
Sinocrassula ambigua
Sinocrassula techinensis
Gynostemma aggregatum
Hemsleya dulongjiangensis
