拉丁名,纬度-Latitude,经度 - Longitude
Cremanthodium cucullatum,26.453601,99.416689
Cremanthodium daochengense,27.928607,101.279419
Cremanthodium dissectum,35.86,104.2
Cremanthodium forrestii,35.86,104.2
Cremanthodium glandulipilosum,30.93,88.7
Cremanthodium glaucum,28.484444,98.948889
Cremanthodium humile,33.160178,97.126143
Cremanthodium laciniatum,30.05,96.91
Cremanthodium lineare,29.7033,92.1214
Cremanthodium lingulatum,29.63,94.36
Cremanthodium microglossum,31.852663,96.424628
Cremanthodium microphyllum,29.04,93.07
Cremanthodium nervosum,28.17,85.98
Cremanthodium nobile,31.92061,102.56017
Cremanthodium obovatum,30.1711,97.3336
Cremanthodium phyllodineum,35.86,104.2
Cremanthodium potaninii,30.055305,101.96483
Cremanthodium prattii,30.025,101.387
Cremanthodium principis,28.932073,99.79929
Cremanthodium puberulum,31.9272,96.4597
Cremanthodium rhodocephalum,35.86,104.2
Cremanthodium sino-oblongatum,27.82308,99.706013
Cremanthodium spathulifolium,27.48,88.9
Cremanthodium stenactinium,31.725,100.744
Cremanthodium stenoglossum,34.6333,99.7333
Cremanthodium suave,27.928607,101.279419
Cremanthodium trilobum,28.66,97.46
Cremanthodium variifolium,35.86,104.2
Cremanthodium yadongense,27.48,88.9
Crepis elongata,30.29,81.17
Diplazoptilon picridifolium,27.177166,99.28717
Distephanus forrestii,36.519977,103.891767
Dolomiaea berardioidea,27.92,101.27
Dolomiaea calophylla,29.29,87.23
Dolomiaea crispo-undulata,31.712092,88.118532
Dolomiaea forrestii,28.5719,99.8328
Dolomiaea georgii,26.6,99.67
Dolomiaea lateritia,28.85,85.29
Dolomiaea platylepis,27.928607,101.279419
Dolomiaea souliei,30.881667,102.941389
Dolomiaea wardii,29.7,90.92
Doronicum conaense,28,91.95
Doronicum gansuense,32.9841,103.668717
Doronicum stenoglossum,32.77,96.67
Doronicum thibetanum,35.86,104.2
Dubyaea amoena,28.24,98.4
Dubyaea cymiformis,27.48,88.9
Dubyaea gombalana,35.86,104.2
Dubyaea muliensis,29.351675,102.678073
Dubyaea rubra,27.92,101.27
Dubyaea tsarongensis,35.86,104.2
Erigeron kiukiangensis,35.86,104.2
Erigeron kunshanensis,35.86,104.2
Erigeron lanuginosus,28.66,97.46
Erigeron leucoglossus,23.67,113.42
Erigeron multifolius,35.86,104.2
Erigeron porphyrolepis,31.9544,98.9128
Erigeron purpurascens,30.05,101.96
Erigeron tenuicaulis,29.037008,100.298406
Faberia thibetica,30.055305,101.96483
Formania mekongensis,28.71,99.28
Gerbera connata,25.175621,110.351669
Gerbera curvisquama,27.740736,98.66582
Gerbera lijiangensis,25.175621,110.351669
Gerbera saxatilis,29,101.5
Helichrysum kashgaricum,39.15,75.95
Heteropappus bowerii,28.7742,86.2194
Hippolytia desmantha,33.0606,97.1428
Hippolytia glomerata,29.040508,90.920913
Hippolytia kennedyi,29.14,92.59
Hippolytia syncalathiformis,29.42,90.16
Hippolytia yunnanensis,35.86,104.2
Ixeridium aculeolatum,25.045277,104.990555
Jurinea kaschgarica,39.71,75.25
Jurinea pamirica,37.346131,90.296832
Leontopodium artemisiifolium,36.52,103.89167
Leontopodium calocephalum,28.5858,99.8372
Leontopodium franchetii,27.8,99.7
Leontopodium haplophylloides,34.15,102.57
Leontopodium melanolepis,29.65,91.12
Leontopodium micranthum,31.62,99.99
Leontopodium muscoides,28.66,97.46
Leontopodium niveum,30.05389,101.95667
Leontopodium roseum,31.68115,103.853481
Leontopodium souliei,35.86,104.2
Leontopodium stoechas,30,99.1
Leontopodium stoloniferum,31.116667,101.133333
Leontopodium suffruticosum,31.5,98.22
Leontopodium villosum,30.368117,102.81464
Leontopodium wilsonii,29.010101,114.412629
Ligularia alatipes,26.876096,100.229945
Ligularia atroviolacea,27.82308,99.706013
Ligularia brassicoides,31.905842,102.206261
Ligularia chalybea,27.928607,101.279419
Ligularia changiana,36.519977,103.891767
Ligularia confertiflora,27.82308,99.706013
Ligularia curvisquama,28.48611,98.911543
Ligularia cyathiceps,35.86,104.2
Ligularia cymbulifera,27.3778,100.077
Ligularia cymosa,30.05,101.96
Ligularia dictyoneura,28.8675,99.2458
Ligularia discoidea,29.63,94.36
Ligularia eriocaulis,28.15,100.84
Ligularia euryphylla,27.778126,99.592171
Ligularia ghatsukupa,28.93,92.22
Ligularia kangtingensis,30.05,101.96
Ligularia konkalingensis,28.27,103.57
Ligularia lapathifolia,24.9667,102.633
Ligularia latipes,31.68115,103.853481
Ligularia liatroides,32.7464,97.3472
Ligularia lidjiangensis,27.085138,100.263298
Ligularia lingiana,27.928607,101.279419
Ligularia longihastata,35.86,104.2
Ligularia macrodonta,34.69,103.35
Ligularia melanocephala,29.0019,99.7428
Ligularia melanothyrsa,26.876096,100.229945
Ligularia microcardia,29.914155,102.234618
Ligularia microcephala,28.48611,98.911543
Ligularia muliensis,27.3778,100.077
Ligularia myriocephala,30.0067,93.0017
Ligularia nyingchiensis,29.63,94.36
Ligularia odontomanes,27.928607,101.279419
Ligularia oligonema,28.48611,98.911543
Ligularia paradoxa,27.92,101.27
Ligularia petiolaris,31.712092,88.118532
Ligularia phoenicochaeta,35.86,104.2
Ligularia pleurocaulis,30.9681,98.9686
Ligularia potaninii,33.012778,103.714722
Ligularia pterodonta,35.86,104.2
Ligularia pubifolia,29.85,95.76
Ligularia purdomii,31.4972,99.9925
Ligularia rockiana,35.86,104.2
Ligularia stenoglossa,25.584234,100.222124
Ligularia subspicata,28.93,99.79
Ligularia tenuicaulis,27.740736,98.66582
Ligularia tongkyukensis,29.58,94.95
Ligularia tongolensis,30.055305,101.96483
Ligularia transversifolia,35.86,104.2
Ligularia tsangchanensis,29.05,93.93
Ligularia vellerea,27.63,99.75
Ligularia yunnanensis,35.86,104.2
Nannoglottis delavayi,27.928607,101.279419
Nannoglottis latisquama,27.928607,101.279419
Nannoglottis ravida,29.53,102.87
Nannoglottis yunnanensis,27.82308,99.706013
Parasenecio cyclotus,26.11116,99.951049
Parasenecio deltophyllus,35.20256,102.521732
Parasenecio hastiformis,26.876096,100.229945
Parasenecio jiulongensis,29.000343,101.507299
Parasenecio latipes,28.64861,98.92888
Parasenecio lidjiangensis,24.976725,101.487417
Parasenecio longispicus,31.1419,100.909
Parasenecio maowenensis,31.68115,103.853481
Parasenecio palmatisectus,30.1469,101.86
Parasenecio rockianus,26.876096,100.229945
Parasenecio souliei,30.055305,101.96483
Pertya angustifolia,31.5119,100.696
Pertya berberidoides,28.48611,98.911543
Pertya monocephala,28.04,98.57916
Pertya phylicoides,28.932073,99.79929
Pertya uniflora,34.84,104.47
Petasites versipilus,27.928607,101.279419
Pulicaria chrysantha,27.76,100.32
Pulicaria insignis,32.446944,98.009167
Pyrethrum arrasanicum,42.26,86.86
Pyrethrum tatsienense,35.86,104.2
Saussurea acroura,32.637983,103.59895
Saussurea apus,35.254167,98.982778
Saussurea arenaria,34.3108,99.1814
Saussurea aster,32,90
Saussurea bella,35.4228,99.3703
Saussurea bomiensis,29.6111,94.6517
Saussurea brachylepis,30.5,102.5
Saussurea brunneopilosa,35.2617,98.9825
Saussurea bullata,27.82308,99.706013
Saussurea caudata,30.368117,102.81464
Saussurea centiloba,27.82308,99.706013
Saussurea ceterach,28.48611,98.911543
Saussurea chionophora,30.92,102.93
Saussurea ciliaris,29.037008,100.298406
Saussurea cochlearifolia,27.48,88.9
Saussurea colpodes,28.17,85.98
Saussurea columnaris,28.14722,99.90389
Saussurea compta,30.14136,101.865706
Saussurea coriacea,31.72,100.719
Saussurea coriolepis,30.3706,102.8122
Saussurea delavayi,25.660201,100.118305
